AirportName,CancelReason,max(CancelCount)
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",Weather,1
"Gunnison, CO: Gunnison-Crested Butte Regional",Weather,3
"Hancock/Houghton, MI: Houghton County Memorial",Weather,5
"Harlingen/San Benito, TX: Valley International",Weather,4
"Harrisburg, PA: Harrisburg International",Weather,3
"Hartford, CT: Bradley International",Carrier,55
"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",Weather,1
"Hayden, CO: Yampa Valley",Weather,1
"Helena, MT: Helena Regional",Weather,2
"Hilo, HI: Hilo International",Carrier,7
"Hilton Head, SC: Hilton Head Airport",Weather,2
"Honolulu, HI: Daniel K Inouye International",Carrier,61
"Houston, TX: George Bush Intercontinental/Houston",Weather,121
"Houston, TX: William P Hobby",Weather,60
"Huntsville, AL: Huntsville International-Carl T Jones Field",Carrier,6
"Idaho Falls, ID: Idaho Falls Regional",Carrier,2
"Indianapolis, IN: Indianapolis International",Weather,53
"International Falls, MN: Falls International Einarson Field",Weather,3
"Islip, NY: Long Island MacArthur",Carrier,11
"Jackson, WY: Jackson Hole",Weather,2
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Weather,9
"Jacksonville, FL: Jacksonville International",Carrier,38
"Jamestown, ND: Jamestown Regional",Weather,14
"Johnstown, PA: John Murtha Johnstown-Cambria County",Carrier,1
"Juneau, AK: Juneau International",Carrier,15
"Kahului, HI: Kahului Airport",Carrier,33
"Kalamazoo, MI: Kalamazoo/Battle Creek International","National Air System",1
"Kansas City, MO: Kansas City International",Carrier,33
"Ketchikan, AK: Ketchikan International",Carrier,13
"Key West, FL: Key West International",Carrier,13
"Killeen, TX: Robert Gray AAF",Weather,3
"King Salmon, AK: King Salmon Airport",Carrier,2
"Knoxville, TN: McGhee Tyson",Carrier,8
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,23
"Kotzebue, AK: Ralph Wien Memorial",Weather,2
"La Crosse, WI: La Crosse Regional",Carrier,1
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,3
"Lake Charles, LA: Lake Charles Regional",Weather,2
"Lansing, MI: Capital Region International","National Air System",2
"Laramie, WY: Laramie Regional","National Air System",15
"Laredo, TX: Laredo International",Weather,1
"Las Vegas, NV: McCarran International",Carrier,197
"Latrobe, PA: Arnold Palmer Regional",Weather,5
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Weather,2
"Lewiston, ID: Lewiston Nez Perce County",Weather,1
"Lexington, KY: Blue Grass",Weather,6
"Lihue, HI: Lihue Airport",Carrier,14
