name,MaxEarlyDeparture
"SkyWest Airlines Inc.: OO",39
"Spirit Air Lines: NK",38
"Alaska Airlines Inc.: AS",37
"Horizon Air: QX",36
"Allegiant Air: G4",36
"Mesa Airlines Inc.: YV",35
"JetBlue Airways: B6",34
"Delta Air Lines Inc.: DL",32
"Envoy Air: MQ",29
"United Air Lines Inc.: UA",29
"Frontier Airlines Inc.: F9",28
"American Airlines Inc.: AA",27
"Southwest Airlines Co.: WN",25
"PSA Airlines Inc.: OH",25
"Republic Airline: YX",23
"Hawaiian Airlines Inc.: HA",20
"Endeavor Air Inc.: 9E",20
